experiment,ramp_spread,fe_spread,be_spread,fe_mean,be_mean,rp_obj,eev_obj,vss,pct_vss,rp_exp_unmet,eev_exp_unmet,unmet_gap,rp_fill_rate,eev_fill_rate,fill_rate_gap,rp_exp_inv,eev_exp_inv,inv_gap,rp_xf_fe1,rp_xf_fe2,ev_xf_fe1,ev_xf_fe2,fe2_gap,total_starts_gap,rp_outsource_fe,ev_outsource_fe,rp_outsource_be,ev_outsource_be,profit_gap,rp_total_starts,ev_total_starts,status_rp,status_eev
B_BE_only,0.050000,0.150000,0.050000,0.875000,0.800000,6565.092558,6445.601486,119.491073,1.820097,15.000000,15.000000,0.000000,98.000000,98.000000,0.000000,0.000000,0.000000,0.000000,10.000000,3.125000,10.000000,0.285714,2.839286,2.839286,Yes,Yes,Yes,Yes,119.491073,13.125000,10.285714,Optimal,Optimal
B_BE_only,0.060000,0.150000,0.060000,0.875000,0.800000,6564.995649,6445.504578,119.491071,1.820124,15.000000,15.000000,0.000000,98.000000,98.000000,0.000000,0.000000,0.000000,0.000000,10.000000,3.125000,10.000000,0.285714,2.839286,2.839286,Yes,Yes,Yes,Yes,119.491071,13.125000,10.285714,Optimal,Optimal
B_BE_only,0.070000,0.150000,0.070000,0.875000,0.800000,6560.365292,6441.615238,118.750054,1.810113,15.375000,15.375000,0.000000,97.950000,97.950000,0.000000,0.000000,0.000000,0.000000,10.000000,3.125000,10.000000,0.285714,2.839286,2.839286,Yes,Yes,Yes,Yes,118.750054,13.125000,10.285714,Optimal,Optimal
B_BE_only,0.080000,0.150000,0.080000,0.875000,0.800000,6546.677162,6430.132519,116.544643,1.780211,16.500000,16.500000,0.000000,97.800000,97.800000,0.000000,0.000000,0.000000,0.000000,10.000000,3.125000,10.000000,0.285714,2.839286,2.839286,Yes,Yes,Yes,Yes,116.544643,13.125000,10.285714,Optimal,Optimal
B_BE_only,0.090000,0.150000,0.090000,0.875000,0.800000,6532.958534,6418.593202,114.365332,1.750590,17.625000,17.625000,0.000000,97.650000,97.650000,0.000000,0.000000,0.000000,0.000000,10.000000,3.125000,10.000000,0.285714,2.839286,2.839286,Yes,Yes,Yes,Yes,114.365332,13.125000,10.285714,Optimal,Optimal
B_BE_only,0.100000,0.150000,0.100000,0.875000,0.800000,6519.209559,6406.997900,112.211660,1.721246,18.750000,18.750000,0.000000,97.500000,97.500000,0.000000,0.000000,0.000000,0.000000,10.000000,3.125000,10.000000,0.285714,2.839286,2.839286,Yes,Yes,Yes,Yes,112.211660,13.125000,10.285714,Optimal,Optimal
B_BE_only,0.110000,0.150000,0.110000,0.875000,0.800000,6505.430376,6395.347199,110.083177,1.692174,19.875000,19.875000,0.000000,97.350000,97.350000,0.000000,0.000000,0.000000,0.000000,10.000000,3.125000,10.000000,0.285714,2.839286,2.839286,Yes,Yes,Yes,Yes,110.083177,13.125000,10.285714,Optimal,Optimal
B_BE_only,0.120000,0.150000,0.120000,0.875000,0.800000,6491.621112,6383.641668,107.979443,1.663366,21.000000,21.000000,0.000000,97.200000,97.200000,0.000000,0.000000,0.000000,0.000000,10.000000,3.125000,10.000000,0.285714,2.839286,2.839286,Yes,Yes,Yes,Yes,107.979443,13.125000,10.285714,Optimal,Optimal
B_BE_only,0.130000,0.150000,0.130000,0.875000,0.800000,6477.781874,6371.881843,105.900031,1.634819,22.125000,22.125000,0.000000,97.050000,97.050000,0.000000,0.000000,0.000000,0.000000,10.000000,3.125000,10.000000,0.285714,2.839286,2.839286,Yes,Yes,Yes,Yes,105.900031,13.125000,10.285714,Optimal,Optimal
B_BE_only,0.140000,0.150000,0.140000,0.875000,0.800000,6463.912758,6360.068239,103.844520,1.606527,23.250000,23.250000,0.000000,96.900000,96.900000,0.000000,0.000000,0.000000,0.000000,10.000000,3.125000,10.000000,0.285714,2.839286,2.839286,Yes,Yes,Yes,Yes,103.844520,13.125000,10.285714,Optimal,Optimal
B_BE_only,0.150000,0.150000,0.150000,0.875000,0.800000,6450.013854,6348.201354,101.812499,1.578485,24.375000,24.375000,0.000000,96.750000,96.750000,0.000000,0.000000,0.000000,0.000000,10.000000,3.125000,10.000000,0.285714,2.839286,2.839286,Yes,Yes,Yes,Yes,101.812499,13.125000,10.285714,Optimal,Optimal
B_BE_only,0.160000,0.150000,0.160000,0.875000,0.800000,6436.085226,6336.281655,99.803571,1.550688,25.500000,25.500000,0.000000,96.600000,96.600000,0.000000,0.000000,0.000000,0.000000,10.000000,3.125000,10.000000,0.285714,2.839286,2.839286,Yes,Yes,Yes,Yes,99.803571,13.125000,10.285714,Optimal,Optimal
B_BE_only,0.170000,0.150000,0.170000,0.875000,0.800000,6422.126932,6324.309590,97.817343,1.523130,26.625000,26.625000,0.000000,96.450000,96.450000,0.000000,0.000000,0.000000,0.000000,10.000000,3.125000,10.000000,0.285714,2.839286,2.839286,Yes,Yes,Yes,Yes,97.817343,13.125000,10.285714,Optimal,Optimal
B_BE_only,0.180000,0.150000,0.180000,0.875000,0.800000,6408.195476,6312.327718,95.867758,1.496018,27.750000,27.750000,0.000000,96.300000,96.300000,0.000000,0.000000,0.000000,0.000000,10.000000,3.125000,10.000000,0.285714,2.839286,2.839286,Yes,Yes,Yes,Yes,95.867758,13.125000,10.285714,Optimal,Optimal
B_BE_only,0.190000,0.150000,0.190000,0.875000,0.800000,6394.437214,6300.440486,93.996728,1.469977,28.875000,28.875000,0.000000,96.150000,96.150000,0.000000,0.000000,0.000000,0.000000,10.000000,3.125000,10.000000,0.285714,2.839286,2.839286,Yes,Yes,Yes,Yes,93.996728,13.125000,10.285714,Optimal,Optimal
B_BE_only,0.200000,0.150000,0.200000,0.875000,0.800000,6380.657738,6288.500000,92.157738,1.444330,30.000000,30.000000,0.000000,96.000000,96.000000,0.000000,0.000000,0.000000,0.000000,10.000000,3.125000,10.000000,0.285714,2.839286,2.839286,Yes,Yes,Yes,Yes,92.157738,13.125000,10.285714,Optimal,Optimal
B_BE_only,0.210000,0.150000,0.210000,0.875000,0.800000,6366.856912,6276.506655,90.350257,1.419072,31.125000,31.125000,0.000000,95.850000,95.850000,0.000000,0.000000,0.000000,0.000000,10.000000,3.125000,10.000000,0.285714,2.839286,2.839286,Yes,Yes,Yes,Yes,90.350257,13.125000,10.285714,Optimal,Optimal
B_BE_only,0.220000,0.150000,0.220000,0.875000,0.800000,6353.034586,6263.927168,89.107418,1.402596,32.250000,32.250000,0.000000,95.700000,95.700000,0.000000,0.000000,0.000000,0.000000,10.000000,3.125000,10.000000,0.285714,2.839286,2.839286,Yes,Yes,Yes,Yes,89.107418,13.125000,10.285714,Optimal,Optimal
B_BE_only,0.230000,0.150000,0.230000,0.875000,0.800000,6339.190598,6251.057971,88.132627,1.390282,33.375000,33.375000,0.000000,95.550000,95.550000,0.000000,0.000000,0.000000,0.000000,10.000000,3.125000,10.000000,0.285714,2.839286,2.839286,Yes,Yes,Yes,Yes,88.132627,13.125000,10.285714,Optimal,Optimal
