scenario,fe_spread,v_d,rp_obj,eev_obj,vss,pct_vss,rp_unmet,eev_unmet,unmet_gap,rp_inv,eev_inv,rp_fe1,rp_fe2,ev_fe1,ev_fe2,rp_total,ev_total
S3: High ($5),0.13,5,6319.204298449999,6213.5734079625,105.63089048749953,1.6715853056595924,30.0,30.0,0.0,0.0,0.0,10.0,4.0939597,10.0,0.31518625,14.0939597,10.31518625
S3: High ($5),0.14,5,6318.91666655,6211.031768538751,107.88489801124888,1.707332185315111,30.0,30.0,0.0,0.0,0.0,10.0,4.2857143,10.0,0.37463977,14.2857143,10.37463977
S3: High ($5),0.15000000000000002,5,6318.6211001,6208.460663778749,110.16043632125093,1.7434252596584325,30.0,30.0,0.0,0.0,0.0,10.0,4.4827586,10.0,0.43478261,14.4827586,10.43478261
S3: High ($5),0.16,5,6318.31726595,6205.85957215125,112.45769379874946,1.7798677886087557,30.0,30.0,0.0,0.0,0.0,10.0,4.6853147,10.0,0.49562682,14.6853147,10.49562682
S3: High ($5),0.17,5,6318.0048125,6196.2943251,121.7104874000006,1.9264070068322792,30.0,30.50036625,0.500366249999999,0.0,0.0,10.0,4.893617,10.0,0.55718475,14.893616999999999,10.55718475
S3: High ($5),0.18000000000000002,5,6317.68336745,6186.0797014237505,131.6036660262498,2.0831000601312004,30.0,31.04535375,1.0453537500000003,0.0,0.0,10.0,5.1079137,10.0,0.61946903,15.107913700000001,10.61946903
S3: High ($5),0.19,5,6317.3525371999995,6175.7438377362505,141.60869946374896,2.241582983217734,30.0,31.59681,1.5968100000000014,0.0,0.0,10.0,5.3284672,10.0,0.68249258,15.3284672,10.68249258
S3: High ($5),0.2,5,6317.0119046,6165.28455236,151.72735224000007,2.401884855235327,30.0,32.15485125,2.15485125,0.0,0.0,10.0,5.5555556,10.0,0.74626866,15.5555556,10.74626866
S3: High ($5),0.21000000000000002,5,6316.66102745,6154.699641022501,161.96138642749884,2.5640347918571424,30.0,32.719595,2.719594999999998,0.0,0.0,10.0,5.7894737,10.0,0.81081081,15.7894737,10.81081081
S3: High ($5),0.22,5,6316.2994364,6143.986808492499,172.31262790750043,2.7280630002194877,30.0,33.291163749999996,3.2911637499999955,0.0,0.0,10.0,6.0305344,10.0,0.87613293,16.0305344,10.87613293
